DatasetID,year1,author1,DATA-CM (B/SR/EV) 0.1,ERR-S (B/SR/EV) 0.944,EN (EV) 1.1,EN-RSL-FW (EV) 1.922,E-EXC (EV) 2.1,E-RSL (EV) 2.922,ANG-CM (ADEG) 3.1,ANG-RSL (ADEG) 3.922,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
13516002,1991,K.H.Hicks+,9.72987e-10,3.30639e-10,2.98e+8,7.0e+5,1.198e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.87789e-10,2.66169e-10,2.98e+8,7.0e+5,1.223e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.72101e-10,4.48894e-10,2.98e+8,7.0e+5,1.248e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.86533e-10,3.06935e-10,2.98e+8,7.0e+5,1.273e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.03095e-9,3.74137e-10,2.98e+8,7.0e+5,1.298e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.18422e-10,3.77527e-10,2.98e+8,7.0e+5,1.323e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.2677e-10,4.25053e-10,2.98e+8,7.0e+5,1.348e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.74764e-10,3.62e-10,2.98e+8,7.0e+5,1.373e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.29978e-10,3.23905e-10,2.98e+8,7.0e+5,1.398e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.91154e-10,4.2464e-10,2.98e+8,7.0e+5,1.423e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.22049e-10,3.27852e-10,2.98e+8,7.0e+5,1.448e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.44702e-10,2.22237e-10,2.98e+8,7.0e+5,1.473e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.15379e-10,2.98197e-10,2.98e+8,7.0e+5,1.498e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.89806e-10,3.81072e-10,2.98e+8,7.0e+5,1.523e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.32306e-10,2.48733e-10,2.98e+8,7.0e+5,1.548e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.4723e-10,3.77414e-10,2.98e+8,7.0e+5,1.573e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.64129e-10,3.08424e-10,2.98e+8,7.0e+5,1.598e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.24478e-10,3.18412e-10,2.98e+8,7.0e+5,1.623e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.84136e-10,6.78462e-11,2.98e+8,7.0e+5,1.649e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.96581e-10,1.91211e-10,2.98e+8,7.0e+5,1.673e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.05623e-10,4.59945e-10,2.98e+8,7.0e+5,1.699e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.00106e-10,3.40975e-10,2.98e+8,7.0e+5,1.723e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
